PARTNER_APP_ID,DAY,OS_NAME,N_USERS_STARTED_SELFIE_CHECK_FLOW,N_USERS_SHARED_A_PROOF,CUMULATIVE_N_USERS_SHARED_A_PROOF,P_FACE_CAPTURE_COMPLETION
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-01,iOS,6,5,5,0.833333
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-02,Android,20,13,18,0.894737
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-02,iOS,1,1,6,0.500000
app_15586c74aff1e64417f5e037a6fccde7,2026-08-09,Android,101,48,354,0.725490
app_15586c74aff1e64417f5e037a6fccde7,2026-08-09,iOS,15,11,98,0.833333
app_15586c74aff1e64417f5e037a6fccde7,2026-08-10,Android,90,35,389,0.625000
app_15586c74aff1e64417f5e037a6fccde7,2026-08-10,iOS,16,10,108,0.714286
app_15586c74aff1e64417f5e037a6fccde7,2026-08-11,Android,88,41,430,0.571429
app_15586c74aff1e64417f5e037a6fccde7,2026-08-11,iOS,10,5,113,0.500000
app_15586c74aff1e64417f5e037a6fccde7,2026-08-12,Android,91,41,471,0.723404
app_15586c74aff1e64417f5e037a6fccde7,2026-08-12,iOS,17,13,126,0.812500
app_15586c74aff1e64417f5e037a6fccde7,2026-08-13,Android,91,37,508,0.559524
app_15586c74aff1e64417f5e037a6fccde7,2026-08-13,iOS,16,8,134,0.533333
app_15586c74aff1e64417f5e037a6fccde7,2026-08-14,Android,62,20,528,0.666667
app_15586c74aff1e64417f5e037a6fccde7,2026-08-14,iOS,10,5,139,0.583333
app_15586c74aff1e64417f5e037a6fccde7,2026-08-15,Android,82,33,561,0.677778
app_15586c74aff1e64417f5e037a6fccde7,2026-08-15,iOS,20,12,151,0.705882
app_15586c74aff1e64417f5e037a6fccde7,2026-08-16,Android,80,36,597,0.643836
app_15586c74aff1e64417f5e037a6fccde7,2026-08-16,iOS,12,7,158,0.583333
app_043865b1148453ebbc65c19a6357abe0,2026-08-28,iOS,2,2,4,1.000000
app_043865b1148453ebbc65c19a6357abe0,2026-08-31,iOS,1,1,4,1.000000
app_0c78ee6a87b689a34f560b6872d395c6,2026-08-19,iOS,1,1,1,1.000000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-01,Android,97,35,35,0.719626
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-01,iOS,11,6,6,0.909091
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-02,Android,92,35,70,0.603774
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-02,iOS,8,4,10,0.857143
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-03,Android,93,37,107,0.744444
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-03,iOS,19,12,22,0.730769
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-04,Android,83,31,137,0.719101
